timestamp,line_state,line_zone,is_safe,has_motion,dist,foot_x,foot_y
2025-11-22T15:15:46.753293,SAFE_STABLE,OUTSIDE_SAFE,True,True,45.0,933,801
2025-11-22T15:15:46.986209,TRANSITION,INSIDE_DANGER,False,True,-58.0,795,698
2025-11-22T15:15:47.053935,DANGER_STABLE,INSIDE_DANGER,False,True,-216.0,799,540
2025-11-22T15:15:47.118957,TRANSITION,OUTSIDE_SAFE,True,True,324.0,960,1080
2025-11-22T15:15:47.186065,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,960,1080
2025-11-22T15:42:12.720845,TRANSITION,OUTSIDE_SAFE,True,False,0.0,,
2025-11-22T15:42:13.188719,TRANSITION,INSIDE_DANGER,False,True,-78.0,1776,678
2025-11-22T15:42:13.260242,DANGER_STABLE,INSIDE_DANGER,False,True,-37.0,1774,719
2025-11-22T15:42:19.906168,TRANSITION,OUTSIDE_SAFE,True,True,324.0,1023,1080
2025-11-22T15:42:19.936972,TRANSITION,INSIDE_DANGER,False,True,-38.0,1794,718
2025-11-22T15:42:19.998097,TRANSITION,OUTSIDE_SAFE,True,True,324.0,1025,1080
2025-11-22T15:42:20.067275,TRANSITION,INSIDE_DANGER,False,True,-39.0,1793,717
2025-11-22T15:42:20.136441,TRANSITION,OUTSIDE_SAFE,True,True,324.0,1025,1080
2025-11-22T15:42:20.201780,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,1024,1080
2025-11-22T15:42:20.968279,TRANSITION,INSIDE_DANGER,False,True,-38.0,1794,718
2025-11-22T15:42:21.035324,TRANSITION,OUTSIDE_SAFE,True,True,324.0,1025,1080
2025-11-22T15:42:21.101969,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,1025,1080
2025-11-22T15:42:58.854254,TRANSITION,OUTSIDE_SAFE,True,False,0.0,,
2025-11-22T15:42:59.361155,TRANSITION,INSIDE_DANGER,False,True,-107.0,1808,649
2025-11-22T15:42:59.436357,DANGER_STABLE,INSIDE_DANGER,False,True,-37.0,1791,719
2025-11-22T15:43:01.669129,TRANSITION,ON_LINE_SAFE,True,True,4.0,1009,760
2025-11-22T15:43:01.700732,TRANSITION,OUTSIDE_SAFE,True,True,63.0,1041,819
2025-11-22T15:43:01.768418,SAFE_STABLE,OUTSIDE_SAFE,True,True,64.0,1041,820
2025-11-22T15:43:03.837928,TRANSITION,INSIDE_DANGER,False,True,-11.0,1247,745
2025-11-22T15:43:03.906226,DANGER_STABLE,INSIDE_DANGER,False,True,-14.0,1236,742
2025-11-22T15:43:03.936821,TRANSITION,OUTSIDE_SAFE,True,True,62.0,847,818
2025-11-22T15:43:04.000575,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,851,1080
2025-11-24T11:00:08.557251,TRANSITION,OUTSIDE_SAFE,True,False,0.0,,
