timestamp_iso,safety_level,zone,motion_score,num_boxes
2025-11-24T10:54:00.124912,SAFE,ON_LINE,0.2456,24
2025-11-24T10:54:00.258522,SAFE,ON_LINE,0.2431,27
2025-11-24T10:54:00.392251,SAFE,ON_LINE,0.2773,22
2025-11-24T10:54:00.526346,SAFE,ON_LINE,0.4540,24
2025-11-24T10:54:00.657906,SAFE,ON_LINE,0.5101,22
2025-11-24T10:54:00.789732,SAFE,ON_LINE,0.4246,26
2025-11-24T10:54:00.921804,CAUTION,OUTSIDE_SAFE,0.8413,6
2025-11-24T10:54:01.058387,SAFE,ON_LINE,0.6941,6
2025-11-24T10:54:01.185276,SAFE,ON_LINE,0.3034,23
2025-11-24T10:54:01.323577,SAFE,ON_LINE,0.3695,19
2025-11-24T10:54:01.460266,SAFE,ON_LINE,0.3589,18
2025-11-24T10:54:01.593134,SAFE,ON_LINE,0.2524,35
2025-11-24T10:54:01.726807,SAFE,ON_LINE,0.3447,18
2025-11-24T10:54:01.858135,SAFE,ON_LINE,0.6446,16
2025-11-24T10:54:01.991257,SAFE,ON_LINE,0.6863,18
2025-11-24T10:54:02.124527,SAFE,ON_LINE,0.4516,20
2025-11-24T10:54:02.259503,SAFE,ON_LINE,0.4603,24
2025-11-24T10:54:02.391779,SAFE,ON_LINE,0.5864,37
2025-11-24T10:54:02.528764,SAFE,ON_LINE,0.6454,35
2025-11-24T10:54:02.658868,SAFE,ON_LINE,0.5627,40
2025-11-24T10:54:02.786575,SAFE,ON_LINE,0.4503,38
2025-11-24T10:54:02.923566,SAFE,ON_LINE,0.4410,30
2025-11-24T10:54:03.055267,SAFE,ON_LINE,0.5457,16
2025-11-24T10:54:03.187793,SAFE,ON_LINE,0.3046,12
2025-11-24T10:54:03.322515,SAFE,ON_LINE,0.4043,15
2025-11-24T10:54:03.454263,SAFE,ON_LINE,0.5747,5
2025-11-24T10:54:03.587722,SAFE,ON_LINE,0.2168,8
2025-11-24T10:54:03.720216,CAUTION,OUTSIDE_SAFE,0.0101,1
2025-11-24T10:54:03.852774,SAFE,OUTSIDE_SAFE,0.0000,0
2025-11-24T10:54:03.986122,SAFE,OUTSIDE_SAFE,0.0000,0
2025-11-24T10:54:04.122117,SAFE,ON_LINE,0.4972,5
2025-11-24T10:54:04.255447,SAFE,ON_LINE,0.8062,6
2025-11-24T10:54:04.390295,SAFE,ON_LINE,0.6819,11
2025-11-24T10:54:04.523742,SAFE,ON_LINE,0.5912,12
2025-11-24T10:54:04.656945,SAFE,ON_LINE,0.6177,5
2025-11-24T10:54:04.789524,SAFE,ON_LINE,0.6239,16
2025-11-24T10:54:04.924334,SAFE,ON_LINE,0.6378,14
2025-11-24T10:54:05.059852,SAFE,ON_LINE,0.7700,16
2025-11-24T10:54:05.188883,SAFE,ON_LINE,0.6705,23
2025-11-24T10:54:05.327096,SAFE,ON_LINE,0.3262,36
2025-11-24T10:54:05.458949,SAFE,ON_LINE,0.7131,17
2025-11-24T10:54:05.593085,SAFE,ON_LINE,0.6166,20
2025-11-24T10:54:05.725642,SAFE,ON_LINE,0.2762,25
2025-11-24T10:54:05.857433,SAFE,ON_LINE,0.2459,28
2025-11-24T10:54:05.989401,SAFE,ON_LINE,0.7854,13
2025-11-24T10:54:06.124969,SAFE,ON_LINE,0.7294,21
2025-11-24T10:54:06.251186,SAFE,ON_LINE,0.7504,13
2025-11-24T10:54:06.393388,SAFE,ON_LINE,0.2262,32
2025-11-24T10:54:06.529526,SAFE,ON_LINE,0.2681,39
2025-11-24T10:54:06.660083,SAFE,ON_LINE,0.2646,49
2025-11-24T10:54:06.791257,SAFE,ON_LINE,0.5000,18
2025-11-24T10:54:06.931245,SAFE,ON_LINE,0.6367,22
2025-11-24T10:54:07.059463,SAFE,ON_LINE,0.6751,23
2025-11-24T10:54:07.192432,SAFE,ON_LINE,0.3512,28
2025-11-24T10:54:07.328514,SAFE,ON_LINE,0.2836,23
2025-11-24T10:54:07.459870,SAFE,ON_LINE,0.2860,14
2025-11-24T10:54:07.593083,SAFE,ON_LINE,0.2385,18
2025-11-24T10:54:07.727342,SAFE,ON_LINE,0.5860,17
2025-11-24T10:54:07.858624,SAFE,ON_LINE,0.5435,11
2025-11-24T10:54:07.993024,SAFE,ON_LINE,0.3505,13
2025-11-24T10:54:08.125704,SAFE,ON_LINE,0.5286,13
2025-11-24T10:54:08.259906,SAFE,ON_LINE,0.3100,17
2025-11-24T10:54:08.393331,SAFE,ON_LINE,0.4746,13
2025-11-24T10:54:08.529975,SAFE,ON_LINE,0.4640,15
2025-11-24T10:54:08.661227,SAFE,ON_LINE,0.3952,13
2025-11-24T10:54:08.795559,SAFE,ON_LINE,0.2260,24
2025-11-24T10:54:08.928976,SAFE,ON_LINE,0.4482,14
2025-11-24T10:54:09.058340,SAFE,ON_LINE,0.1134,22
2025-11-24T10:54:09.192808,SAFE,ON_LINE,0.2229,18
2025-11-24T10:54:09.328688,SAFE,ON_LINE,0.4776,13
2025-11-24T10:54:09.461228,SAFE,ON_LINE,0.2338,23
2025-11-24T10:54:09.596082,SAFE,ON_LINE,0.4907,15
2025-11-24T10:54:09.730216,SAFE,ON_LINE,0.5234,15
2025-11-24T10:54:09.860090,SAFE,ON_LINE,0.5090,19
2025-11-24T10:54:09.991608,SAFE,ON_LINE,0.3509,25
2025-11-24T10:54:10.124612,SAFE,ON_LINE,0.4758,17
